Variable Information
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |16     |I did not drink tap water yesterday and 4 or more cups                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |A few sips and 1 cup 8 oz                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |25     |A few sips and 3 cups                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |1 cup 8 oz and 2 cups                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |45     |2 cups and 3 cups                                                                                             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |56     |3 cups and 4 or more cups                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |123456 |All options selected                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q12                 |1      |I did not drink bottled water yesterday                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Less than 1 bottle (a sip or a few sips)                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |1 bottle (about 16-20 oz)                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |2 bottles                                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |3 bottles                                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |4 or more bottles                                                                                             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |I did not drink bottled water yesterday and less than 1 bottle a sip or a few sips                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |14     |I did not drink bottled water yesterday and 2 bottles                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |16     |I did not drink bottled water yesterday and 4 or more bottles                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |Less than 1 bottle a sip or a few sips and 1 bottle about 16-20 oz                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |1 bottle about 16-20 oz and 2 bottles                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |134    |I did not drink bottled water yesterday, 1 bottle about 16-20 oz, and 2 bottles                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |245    |Less than 1 bottle a sip or a few sips, 2 bottles, and 3 bottles                                              |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q13                 |1      |Every day                                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |A few times a week                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Once a week                                                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Twice a month                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Once a month                                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |Less than once a month                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |7      |Never                                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |Every day and a few times a week                                                                              |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |Every day and once a week                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |15     |Every day and once a month                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |17     |Every day and never                                                                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |A few times a week and once a week                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |25     |A few times a week and once a month                                                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |26     |A few times a week and less than once a month                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |27     |A few times a week and never                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |Once a week and twice a month                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |36     |Once a week and less than once a month                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |46     |Twice a month and less than once a month                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |47     |Twice a month and never                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |67     |Less than once a month and never                                                                              |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q14                 |1      |At your home or someone else's home                                                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |At school                                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |At a restaurant                                                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |At a store                                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Somewhere else                                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |I did not get any sugary drinks in the past week                                                              |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |At your home or someone else's home and at school                                                             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |At your home or someone else's home and at a restaurant                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |14     |At your home or someone else's home and at a store                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |15     |At your home or someone else's home and somewhere else                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |16     |At your home or someone else's home and I did not get any sugary drinks in the past week                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |At school and at a restaurant                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |24     |At school and at a store                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |25     |At school and somewhere else                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |At a restaurant and at a store                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |35     |At a restaurant and somewhere else                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |45     |At a store and somewhere else                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |56     |Somewhere else and I did not get any sugary drinks in the past week                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |123    |At your home or someone else's home, at school, and at a restaurant                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |124    |At your home or someone else's home, at school, and at a store                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |125    |At your home or someone else's home, at school, and somewhere else                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |134    |At your home or someone else's home, at a restaurant, and at a store                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |135    |At your home or someone else's home, at a restaurant, and somewhere else                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |145    |At your home or someone else's home, at a store, and somewhere else                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |234    |At school, at a restaurant, and at a store                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |235    |At school, at a restaurant, and somewhere else                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |245    |At school, at a store, and somewhere else                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |345    |At a restaurant, at a store, and somewhere else                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |456    |At a store, somewhere else, and I did not get any sugary drinks in the past week                              |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1234   |At your home or someone else's home, at school, at a restaurant, and at a store                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1235   |At your home or someone else's home, at school, at a restaurant, and somewhere else                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1245   |At your home or someone else's home, at school, at a store, and somewhere else                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1345   |At your home or someone else's home, at a restaurant, at a store, and somewhere else                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2356   |At school, at a restaurant, somewhere else, and I did not get any sugary drinks in the past week              |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12345  |At your home or someone else's home, at school, at a restaurant, at a store, and somewhere else               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13456  |At your/someone else's home, at a restaurant, at a store, somewhere else, and I did not get any sugary drinks |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |123456 |All options selected                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q15                 |1      |Not at all important                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Somewhat important                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Very important                                                                                                |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q16                 |1      |Not at all important                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Somewhat important                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Very important                                                                                                |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q17                 |1      |Not at all important                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |Somewhat important                                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Very important                                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |Not at all important and somewhat important                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |15     |Not at all important and very important                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |2 and somewhat important                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |24     |2 and 4                                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |25     |2 and very important                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |Somewhat important and 4                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |35     |Somewhat important and very important                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |45     |4, and very important                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |145    |Not at all important, 4, and very important                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |345    |Somewhat important, 4, and very important                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12345  |All options selected                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q18                 |1      |Bad for health                                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Neither                                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |7      |Good for health                                                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |Bad for health and 2                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |Bad for health and 3                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |14     |Bad for health and neither                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |16     |Bad for health and 6                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |17     |Bad for health and good for health                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |27     |2 and good for health                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |3 and neither                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |37     |3 and good for health                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |46     |Neither and 6                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |47     |Neither and good for health                                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |57     |5 and good for health                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |67     |6 and good for health                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |467    |Neither, 6, and good for health                                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |567    |5, 6, and good for health                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1247   |Bad for health, 2, neither, and good for health                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1457   |Bad for health, neither, 5, good for health                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3567   |3, 5, 6, and good for health                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12346  |Bad for health, 2, 3, neither, and 6                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |123467 |Bad for health, 2, 3, neither, 6, and good for health                                                         |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q19                 |1      |Bad for health                                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Neither                                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |7      |Good for health                                                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |Bad for health and 2                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |14     |Bad for health and neither                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |15     |Bad for health and 5                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |17     |Bad for health and good for health                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |27     |2 and good for health                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |3 and neither                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |45     |Neither and 5                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |47     |Neither and good for health                                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |57     |5 and good for health                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |67     |6 and good for health                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |124    |Bad for health, 2, and neither                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |125    |Bad for health, 2, and 5                                                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |367    |3, 6, and good for health                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |567    |5, 6, and good for health                                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1237   |Bad for health, 2, 3, and good for health                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1257   |Bad for health, 2, 5, and good for health                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12345  |Bad for health, 2, 3, neither, and 5                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12357  |Bad for health, 2, 3, 5, and good for health                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1234567|All options selected                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q21                 |1      |Yes                                                                                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |No                                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q27                 |1      |Yes                                                                                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |No                                                                                                            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q28                 |1      |On the internet                                                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |At a store                                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |On a billboard                                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |On a bus advertisement                                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |On the internet and at a store                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |On the internet and on a billboard                                                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |14     |On the internet and on a bus advertisement                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |At a store and on a billboard                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |24     |At a store and on a bus advertisement                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |On a billboard and on a bus advertisement                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |123    |On the internet, at a store, and on a billboard                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |124    |On the internet, at a store, and on a bus advertisement                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |134    |On the internet, on a billboard, and on a bus advertisement                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
