Variable Information
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |4 or more cans (48 oz or more)                                                                     |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q11                       |1      |I did not drink diet soda yesterday                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |4 or more cans (48 oz or more)                                                                     |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q12                       |1      |I did not drink sports or energy drinks yesterday                                                  |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |4 or more cans (48 oz or more)                                                                     |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q13                       |1      |I did not drink 100% fruit juice yesterday                                                         |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |4 or more cans (48 oz or more)                                                                     |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q14                       |1      |I did not drink sweetened fruit flavored, tea or coffee drinks yesterday                           |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |4 or more cans (48 oz or more)                                                                     |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q15                       |1      |I did not drink tap water yesterday                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |A few sips                                                                                         |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |1 cup (8 oz)                                                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |2 cups                                                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |3 cups                                                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |6      |4 or more cups                                                                                     |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q16                       |1      |I did not drink bottled water yesterday                                                            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |Less than 1 bottle (a sip or a few sips)                                                           |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |1 bottle (about 16-20 oz)                                                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |2 bottles                                                                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |3 bottles                                                                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |6      |4 or more bottles                                                                                  |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q17                       |1      |Every day                                                                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |A few times a week                                                                                 |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |Once a week                                                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |Twice a month                                                                                      |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |Once a month                                                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |6      |Less than once a month                                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |7      |Never                                                                                              |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q18                       |1      |Not at all Important                                                                               |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |Somewhat Important                                                                                 |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |Very Important                                                                                     |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q19                       |1      |Not at all Important                                                                               |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |Somewhat Important                                                                                 |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |Very Important                                                                                     |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q20                       |1      |Not at all Important                                                                               |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |Somewhat Important                                                                                 |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |Very Important                                                                                     |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q21                       |1      |Bad for health                                                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |Neither                                                                                            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |7      |Good for health                                                                                    |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q22                       |1      |Bad for health                                                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |Neither                                                                                            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |7      |Good for health                                                                                    |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q24                       |1      |Yes                                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |No                                                                                                 |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q30A                      |1      |Yes                                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |No                                                                                                 |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q30B                      |1      |Yes                                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |No                                                                                                 |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q30C                      |1      |Yes                                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |No                                                                                                 |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q30D                      |1      |Yes                                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |No                                                                                                 |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q30E                      |1      |Yes                                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |No                                                                                                 |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q30F                      |1      |Yes                                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |No                                                                                                 |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q31                       |1      |Yes                                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |No                                                                                                 |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q32                       |1      |On the internet                                                                                    |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |At a store                                                                                         |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |On a billboard                                                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |On a bus advertisement                                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |12     |On the internet and at a store                                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |13     |On the internet and on a billboard                                                                 |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |23     |At a store and on a billboard                                                                      |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |24     |At a store and on a bus advertisement                                                              |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |34     |On a billboard and on a bus advertisement                                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |123    |On the internet, at a store, and on a billboard                                                    |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |124    |On the internet, at a store, and on a bus advertisement                                            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |134    |On the internet, on a billboard, and on a bus advertisement                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |234    |At a store, on a billboard, and on a bus advertisement                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |1234   |All options selected                                                                               |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q34                       |1      |Boy                                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |Girl                                                                                               |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q35                       |1      |Every day                                                                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |A few times a week                                                                                 |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |Once a week                                                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |Twice a month                                                                                      |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |Once a month                                                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |6      |Less than once a month                                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |7      |Never                                                                                              |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |12     |Every day and a few times a week                                                                   |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |15     |Every day and once a month                                                                         |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |17     |Every day and never                                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |23     |A few times a week and once a week                                                                 |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |25     |A few times a week and once a month                                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |26     |A few times a week and less than once a month                                                      |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |27     |A few times a week and never                                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |36     |Once a week and less than once a month                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |45     |Twice a month and once a month                                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |56     |Once a month and less than once a month                                                            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |57     |Once a month and never                                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |67     |Less than once a month and never                                                                   |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |125    |Every day, a few times a week, and once a month                                                    |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |256    |A few times a week, once a month, and less than once a month                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |123456 |Every day, a few times a week, once a week, Twice a month, once a month, and less than once a month|
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |1234567|All options selected                                                                               |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q36                       |1      |My child did not drink sugary drinks yesterday                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |4 or more cans (48 oz or more)                                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |12     |My child did not drink sugary drinks yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |13     |My child did not drink sugary drinks yesterday and 2 cans (about one 20-oz bottle or 2.5 cups)     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |14     |My child did not drink sugary drinks yesterday and 3 cans (about two 20-oz bottles or 4.5 cups)    |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |23     |1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |34     |2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |45     |3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more)                    |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |124    |Did not drink sugary drinks yesterday, 1 can or less, and 3 cans                                   |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |1234   |Did not drink sugary drinks yesterday, 1 can or less, 2 cans, and 3 cans                           |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |1235   |Did not drink sugary drinks yesterday, 1 can or less, 2 cans, and 4 or more cans                   |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |12345  |All options selected                                                                               |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q37                       |1      |My child did not drink 100% juice yesterday                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |4 or more cans (48 oz or more)                                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |12     |My child did not drink 100% juice yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |13     |My child did not drink 100% juice yesterday and 2 cans (about one 20-oz bottle or 2.5 cups)        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |15     |My child did not drink 100% juice yesterday and 4 or more cans (48 oz or more)                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |23     |1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |24     |1 can or less (1 cup=8oz, 1 can=12 oz) and 3 cans (about two 20-oz bottles or 4.5 cups)            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |25     |1 can or less (1 cup=8oz, 1 can=12 oz) and 4 or more cans (48 oz or more)                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |34     |2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |35     |2 cans (about one 20-oz bottle or 2.5 cups) and 4 or more cans (48 oz or more)                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |45     |3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more)                    |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |1234   |Did not drink 100% juice yesterday, 1 can or less, 2 cans, and 3 cans                              |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |1345   |Did not drink 100% juice yesterday, 2 cans, 3 cans, and 4 or more cans                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |12345  |All options selected                                                                               |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q38                       |1      |My child did not drink tap water yesterday                                                         |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |A few sips                                                                                         |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |1 cup (8 oz)                                                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |2 cups                                                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |3 cups                                                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |6      |4 cups or more                                                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |12     |My child did not drink tap water yesterday and A few sips                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |13     |My child did not drink tap water yesterday and 1 cup (8 oz)                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |14     |My child did not drink tap water yesterday and 2 cups                                              |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |15     |My child did not drink tap water yesterday and 3 cups                                              |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |16     |My child did not drink tap water yesterday and 4 cups or more                                      |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |23     |A few sips and 1 cup (8 oz)                                                                        |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |34     |1 cup (8 oz) and 2 cups                                                                            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |36     |1 cup (8 oz) and 4 cups or more                                                                    |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |45     |2 cups and 3 cups                                                                                  |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |46     |2 cups and 4 cups or more                                                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |56     |3 cups and 4 cups or more                                                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |123    |My child did not drink tap water yesterday, A few sips, and 1 cup (8 oz)                           |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |126    |My child did not drink tap water yesterday, A few sips, and 4 cups or more                         |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |1234   |My child did not drink tap water yesterday, A few sips, 1 cup (8 oz), and 2 cups                   |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2345   |A few sips, 1 cup (8 oz), 2 cups, and 3 cups                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |123456 |All options selected                                                                               |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
